number,language,strongs_def,derivation,translit,lemma,kjv_def,xlit,pron
H1921,H,"to swell up (literally or figuratively, active or passive); by implication, to favor or honour, be high or proud",a primitive root;,,הָדַר,"countenance, crooked place, glorious, honour, put forth.",hâdar,haw-dar'
H1922,H,to magnify (figuratively),(Aramaic) corresponding to H1921 (הָדַר);,,הֲדַר,"glorify, honour.",hădar,had-ar'
H1923,H,magnificence,"(Aramaic) from H1922 (הֲדַר)lemma הֲדַּר extra dagesh, corrected to הֲדַר;",,הֲדַר,"honour, majesty.",hădar,had-ar'
H1924,H,"Hadar, an Edomite",the same as H1926 (הָדָר);,,הֲדַר,Hadar.,Hădar,had-ar'
H1925,H,honour; used (figuratively) for the capital city (Jerusalem),from H1921 (הָדַר);,,הֶדֶר,glory.,heder,heh'-der
H1926,H,"magnificence, i.e. ornament or splendor",from H1921 (הָדַר);,,הָדָר,"beauty, comeliness, excellency, glorious, glory, goodly, honour, majesty.",hâdâr,haw-dawr'
H1927,H,decoration,feminine of H1926 (הָדָר);,,הֲדָרָה,"beauty, honour.",hădârâh,had-aw-raw'
H1928,H,"Hadarezer,  a Syrian king","from H1924 (הֲדַר) and H5828 (עֵזֶר); Hadar (i.e. Hadad, H1908 (הֲדַד)) is his help; (i.e. Hadadezer, H1909 (הֲדַדְעֶזֶר))",,הֲדַרְעֶזֶר,Hadarezer.,Hădarʻezer,had-ar-eh'-zer
H1929,H,ah! expressing grief,a shortened form of H162 (אֲהָהּ);,,הָהּ,woe worth.,hâhh,haw
H1930,H,oh!,by permutation from H1929 (הָהּ);,,הוֹ,alas.,hôw,ho
H1931,H,"he (she or it); only expressed when emphatic or without a verb; also (intensively) self, or (especially with the article) the same; sometimes (as demonstrative) this or that; occasionally (instead of copula) as or are","of which the feminine (beyond the Pentateuch) is הִיא; a primitive word, the third person pronoun singular;",,הוּא,"he, as for her, him(-self), it, the same, she (herself), such, that (...it), these, they, this, those, which (is), who.",hûwʼ,hoo
H1932,H,"{he (she or it); self, or (especially with the article) the same; sometimes (as demonstrative) this or that; occasionally (instead of copula) as or are}","(Aramaic) or (feminine) הִיא; (Aramaic), corresponding to H1931 (הוּא)",,הוּא,"[idiom] are, it, this.",hûwʼ,hoo
H1933,H,to be (in the sense of existence),"or הָוָה; a primitive root (compare H183 (אָוָה), H1961 (הָיָה)) supposed to mean properly, to breathe;",,הָוָא,"be, [idiom] have.",hâvâʼ,haw-vaw'
H1934,H,to exist; used in a great variety of applications (especially in connection with other words),"(Aramaic) or הָוָה; (Aramaic), corresponding to H1933 (הָוָא);",,הָוָא,"be, become, [phrase] behold, [phrase] came (to pass), [phrase] cease, [phrase] cleave, [phrase] consider, [phrase] do, [phrase] give, [phrase] have, [phrase] judge, [phrase] keep, [phrase] labour, [phrase] mingle (self), [phrase] put, [phrase] see, [phrase] seek, [phrase] set, [phrase] slay, [phrase] take heed, tremble, [phrase] walk, [phrase] would.",hâvâʼ,hav-aw'
H1935,H,grandeur (i.e. an imposing form and appearance),from an unused root;,,הוֹד,"beauty, comeliness, excellency, glorious, glory, goodly, honour, majesty.",hôwd,hode
H1936,H,"Hod, an Israelite",the same as H1935 (הוֹד);,,הוֹד,Hod.,Hôwd,hode
H1937,H,"Hodevah (or Hodevjah), an Israelite",a form of H1938 (הוֹדַוְיָה);,,הוֹדְוָה,Hodevah.,Hôwdᵉvâh,ho-dev-aw'
H1938,H,"Hodavjah, the name of three Israelites",from H1935 (הוֹד) and H3050 (יָהּ); majesty of Jah;,,הוֹדַוְיָה,Hodaviah.,Hôwdavyâh,ho-dav-yaw'
H1939,H,"Hodajvah, an Israelite",a form of H1938 (הוֹדַוְיָה);,,הוֹדַיְוָהוּ,Hodaiah.,Hôwdayvâhûw,ho-dah-yeh-vaw'-hoo
H1940,H,a Jewess,a form for the feminine of H3064 (יְהוּדִי);,,הוֹדִיָּה,Hodiah.,Hôwdîyâh,ho-dee-yaw'
H1941,H,"Hodijah, the name of three Israelites",a form of H1938 (הוֹדַוְיָה);,,הוֹדִיָּה,Hodijah.,Hôwdîyâh,ho-dee-yaw'
H1942,H,"by implication, of falling); desire; also ruin",from H1933 (הָוָא) (in the sense of eagerly coveting and rushing upon;,,הַוָּה,"calamity, iniquity, mischief, mischievous (thing), naughtiness, naughty, noisome, perverse thing, substance, very wickedness.",havvâh,hav-vaw'
H1943,H,ruin,another form for H1942 (הַוָּה);,,הֹוָה,mischief.,hôvâh,ho-vaw'
H1944,H,"Hoham, a Canaanitish king",of uncertain derivation;,,הוֹהָם,Hoham.,Hôwhâm,ho-hawm'
H1945,H,oh!,a prolonged form of H1930 (הוֹ) (akin to H188 (אוֹי));,,הוֹי,"ah, alas, ho, O, woe.",hôwy,hoh'ee
H1946,H,"to go; causatively, to bring",(Aramaic) corresponding to H1981 (הֲלַךְ);,,הוּךְ,"bring again, come, go (up).",hûwk,hook
H1947,H,folly,feminine active participle of H1984 (הָלַל);,,הוֹלֵלָה,madness.,hôwlêlâh,ho-lay-law'
H1948,H,folly,from active participle of H1984 (הָלַל);,,הוֹלֵלוּת,madness.,hôwlêlûwth,ho-lay-looth'
H1949,H,"to make an uproar, or agitate greatly",a primitive root (compare H2000 (הָמַם));,,הוּם,"destroy, move, make a noise, put, ring again.",hûwm,hoom
H1950,H,"Homam, an Edomitish chieftain",from H2000 (הָמַם); raging;,,הוֹמָם,Homam. Compare H1967 (הֵימָם).,Hôwmâm,ho-mawm'
H1951,H,"properly, to be naught, i.e. (figuratively) to be (causatively, act) light",a primitive root;,,הוּן,be ready.,hûwn,hoon
H1952,H,"wealth; by implication, enough",from the same as H1951 (הוּן) in the sense of H202 (אוֹן);,,הוֹן,"enough, [phrase] for nought, riches, substance, wealth.",hôwn,hone
H1953,H,"Hoshama, an Israelite",from H3068 (יְהֹוָה) and H8085 (שָׁמַע); Jehovah has heard;,,הוֹשָׁמָע,Hoshama.,Hôwshâmâʻ,ho-shaw-maw'
H1954,H,"Hoshea, the name of five Israelites",from H3467 (יָשַׁע); deliverer;,,הוֹשֵׁעַ,"Hosea, Hoshea, Oshea.",Hôwshêaʻ,ho-shay'-ah
H1955,H,"Hoshajah, the name of two Israelites",from H3467 (יָשַׁע) and H3050 (יָהּ); Jah has saved;,,הוֹשַׁעְיָה,Hoshaiah.,Hôwshaʻyâh,ho-shah-yaw'
H1956,H,"Hothir, an Israelite",from H3498 (יָתַר); he has caused to remain;,,הוֹתִיר,Hothir.,Hôwthîyr,ho-theer'
H1957,H,to dream,a primitive root (compare H2372 (חָזָה));,,הָזָה,sleep.,hâzâh,haw-zaw'
H1958,H,lamentation,for H5092 (נְהִי);,,הִי,"woe. (For hiyr. See H1931 (הוּא), H1932 (הוּא).)",hîy,he
H1959,H,acclamation,from an unused root (meaning to shout);,,הֵידָד,shout(-ing).,hêydâd,hay-dawd'
H1960,H,"properly, an acclaim, i.e. a choir of singers",from the same as H1959 (הֵידָד);,,הֻיְּדָה,thanksgiving.,huyᵉdâh,hoo-yed-aw'
H1961,H,"to exist, i.e. be or become, come to pass (always emphatic, and not a mere copula or auxiliary)",a primitive root (compare H1933 (הָוָא));,,הָיָה,"beacon, [idiom] altogether, be(-come), accomplished, committed, like), break, cause, come (to pass), do, faint, fall, [phrase] follow, happen, [idiom] have, last, pertain, quit (one-) self, require, [idiom] use.",hâyâh,haw-yaw
H1962,H,ruin,another form for H1943 (הֹוָה);,,הַיָּה,calamity.,hayâh,hah-yaw'
H1963,H,how?,another form for H349 (אֵיךְ);,,הֵיךְ,how.,hêyk,hake
H1964,H,"a large public building, such as a palace or temple",probably from H3201 (יָכֹל) (in the sense of capacity);,,הֵיכָל,"palace, temple.",hêykâl,hay-kawl'
H1965,H,"{a large public building, such as a palace or temple}",(Aramaic) corresponding to H1964 (הֵיכָל),,הֵיכַל,"palace, temple.",hêykal,hay-kal'
H1966,H,the morning-star,from H1984 (הָלַל) (in the sense of brightness);,,הֵילֵל,lucifer.,hêylêl,hay-lale'
H1967,H,"Hemam, an Idumaean",another form for H1950 (הוֹמָם);,,הֵימָם,Hemam.,Hêymâm,hay-mawm'
H1968,H,"Heman, the name of at least two Israelites",probably from H539 (אָמַן); faithful;,,הֵימָן,Heman.,Hêymân,hay-mawn'
H1969,H,a hin or liquid measure,probably of Egyptian origin;,,הִין,hin.,hîyn,heen
H1970,H,to injure,a primitive root; apparently,,הָכַר,make self strange.,hâkar,haw-kar'
H1971,H,"respect, i.e. partiality",from H5234 (נָכַר);,,הַכָּרָה,shew.,hakkârâh,hak-kaw-raw'
H1972,H,to remove or be remote,probably denominatively from H1973 (הָלְאָה)xlit hâlᵉâh corrected to hâlᵉʼâh;,,הָלָא,cast far off.,hâlâʼ,haw-law'
H1973,H,"to the distance, i.e. far away; also (of time) thus far",from the primitive form of the article (hal);,,הָלְאָה,"back, beyond, (hence,-) forward, hitherto, thence, forth, yonder.",hâlᵉʼâh,haw-leh-aw'
H1974,H,a celebration of thanksgiving for harvest,from H1984 (הָלַל) (in the sense of rejoicing);,,הִלּוּל,"merry, praise.",hillûwl,hil-lool'
H1975,H,this or that,from H1976 (הַלָּזֶה);,,הַלָּז,"side, that, this.",hallâz,hal-lawz'
H1976,H,this very,from the article (see H1973 (הָלְאָה)xlit hâlᵉâh corrected to hâlᵉʼâh) and H2088 (זֶה);,,הַלָּזֶה,this.,hallâzeh,hal-law-zeh'
H1977,H,that,another form of H1976 (הַלָּזֶה);,,הַלֵּזוּ,this.,hallêzûw,hal-lay-zoo'
H1978,H,"a walk, i.e. (by implication) a step",from H1980 (הָלַךְ);,,הָלִיךְ,step.,hâlîyk,haw-leek'
H1979,H,"a walking; by implication, a procession or march, a caravan",feminine of H1978 (הָלִיךְ);,,הֲלִיכָה,"company, going, walk, way.",hălîykâh,hal-ee-kaw'
H1980,H,"to walk (in a great variety of applications, literally and figuratively)",akin to H3212 (יָלַךְ); a primitive root;,,הָלַךְ,"(all) along, apace, behave (self), come, (on) continually, be conversant, depart, [phrase] be eased, enter, exercise (self), [phrase] follow, forth, forward, get, go (about, abroad, along, away, forward, on, out, up and down), [phrase] greater, grow, be wont to haunt, lead, march, [idiom] more and more, move (self), needs, on, pass (away), be at the point, quite, run (along), [phrase] send, speedily, spread, still, surely, [phrase] tale-bearer, [phrase] travel(-ler), walk (abroad, on, to and fro, up and down, to places), wander, wax, (way-) faring man, [idiom] be weak, whirl.",hâlak,haw-lak'
H1981,H,to walk,(Aramaic) corresponding to H1980 (הָלַךְ) (compare H1946 (הוּךְ));,,הֲלַךְ,walk.,hălak,hal-ak'
H1982,H,"properly, a journey, i.e. (by implication) a wayfarer; also a flowing",from H1980 (הָלַךְ);,,הֵלֶךְ,"[idiom] dropped, traveller.",hêlek,hay'-lek
H1983,H,"properly, a journey, i.e. (by implication) toll on goods at aroad",(Aramaic) from H1981 (הֲלַךְ);,,הֲלָךְ,custom.,hălâk,hal-awk'
H1984,H,"to be clear (orig. of sound, but usually of color); to shine; hence, to make ashow, to boast; and thus to be (clamorously) foolish; to rave; causatively, to celebrate; also to stultify",a primitive root;,,הָלַל,"(make) boast (self), celebrate, commend, (deal, make), fool(-ish, -ly), glory, give (light), be (make, feign self) mad (against), give in marriage, (sing, be worthy of) praise, rage, renowned, shine.",hâlal,haw-lal'
H1985,H,"Hillel, an Israelite",from H1984 (הָלַל); praising (namely God);,,הִלֵּל,Hillel.,Hillêl,hil-layl'
H1986,H,"to strike down; by implication, to hammer, stamp, conquer, disband",a primitive root;,,הָלַם,"beat (down), break (down), overcome, smite (with the hammer).",hâlam,haw-lam'
H1987,H,"Helem, the name of two Israelites",from H1986 (הָלַם); smiter;,,הֶלֶם,Helem.,Helem,hay'-lem
H1988,H,hither,from the article (see H1973 (הָלְאָה)xlit hâlᵉâh corrected to hâlᵉʼâh);,,הֲלֹם,"here, hither(-(to)), thither.",hălôm,hal-ome'
H1989,H,a hammer (or mallet),from H1986 (הָלַם);,,הַלְמוּת,hammer.,halmûwth,hal-mooth'
H1990,H,"Ham, a region of Palestine",of uncertain derivation;,,הָם,Ham.,Hâm,hawm
H1991,H,"abundance, i.e. wealth",from H1993 (הָמָה);,,הֵם,any of theirs.,hêm,haym
H1992,H,they (only used when emphatic),or (prolonged) הֵמָּה; masculine plural from H1981 (הֲלַךְ);,,הֵם,"it, like, [idiom] (how, so) many (soever, more as) they (be), (the) same, [idiom] so, [idiom] such, their, them, these, they, those, which, who, whom, withal, ye.",hêm,haym
H1993,H,"to make a loud sound (like English 'hum'); by implication, to be in great commotion or tumult, to rage, war, moan, clamor",a primitive root (compare H1949 (הוּם));,,הָמָה,"clamorous, concourse, cry aloud, be disquieted, loud, mourn, be moved, make a noise, rage, roar, sound, be troubled, make in tumult, tumultuous, be in an uproar.",hâmâh,haw-maw'
H1994,H,they,"(Aramaic) or (prolonged) הִמּוֹן; (Aramaic), corresponding to H1992 (הֵם);",,הִמּוֹ,"[idiom] are, them, those.",himmôw,him-mo'
H1995,H,"a noise, tumult, crowd; also disquietude, wealth","or הָמֹן; (Ezekiel 5:7), from H1993 (הָמָה);",,הָמוֹן,"abundance, company, many, multitude, multiply, noise, riches, rumbling, sounding, store, tumult.",hâmôwn,haw-mone'
H1996,H,the multitude of Gog; the fanciful name of an emblematic place in Palestine,from H1995 (הָמוֹן) and H1463 (גּוֹג);,,הֲמוֹן גּוֹג,Hamogog.,Hămôwn Gôwg,ham-one' gohg
H1997,H,Hamonah,"feminine of H1995 (הָמוֹן); multitude; , the same as H1996 (הֲמוֹן גּוֹג)",,הֲמוֹנָה,Hamonah.,Hămôwnâh,ham-o-naw'
H1998,H,sound,from H1993 (הָמָה);,,הֶמְיָה,noise.,hemyâh,hem-yaw'
H1999,H,a sound,"or (too fully) הֲמוּלָּה; (Jeremiah 11:16), feminine passive participle of an unused root meaning to rush (as rain with a windy roar);",,הֲמֻלָּה,"speech, tumult.",hămullâh,ham-ool-law'
H2000,H,"properly, to put in commotion; by implication, to disturb, drive, destroy","a primitive root (compare H1949 (הוּם), H1993 (הָמָה));",,הָמַם,"break, consume, crush, destroy, discomfit, trouble, vex.",hâmam,haw-mam'
H2001,H,"Haman, a Persian vizier",of foreign derivation;,,הָמָן,Haman.,Hâmân,haw-mawn'
H2002,H,a necklace,(Aramaic) but the text is הֲמוּנֵךְ; of foreign origin;,,הַמְנִיךְ,chain.,hamnîyk,ham-neek'
H2003,H,a dry twig or brushwood,from an unused root apparently meaning to crackle;,,הָמָס,melting.,hâmâç,haw-mawce'
H2004,H,they (only used when emphatic),feminine plural from H1931 (הוּא);,,הֵן,"[idiom] in, such like, (with) them, thereby, therein, (more than) they, wherein, in which, whom, withal.",hên,hane
H2005,H,lo!; also (as expressing surprise) if,a primitive particle;,,הֵן,"behold, if, lo, though.",hên,hane
H2006,H,"lo! also there(-fore), (un-) less, whether, but, if",(Aramaic) corresponding to H2005 (הֵן);,,הֵן,"(that) if, or, whether.",hên,hane
H2007,H,"themselves (often used emphatic for the copula, also in indirect relation)",prolongation for H2004 (הֵן);,,הֵנָּה,"[idiom] in, [idiom] such (and such things), their, (into) them, thence, therein, these, they (had), on this side, whose, wherein.",hênnâh,hane'-naw
H2008,H,hither or thither (but used both of place and time),from H2004 (הֵן);,,הֵנָּה,"here, hither(-to), now, on this (that) side, [phrase] since, this (that) way, thitherward, [phrase] thus far, to...fro, [phrase] yet.",hênnâh,hane'-naw
H2009,H,lo!,prolongation for H2005 (הֵן);,,הִנֵּה,"behold, lo, see.",hinnêh,hin-nay'
H2010,H,"permission of rest, i.e. quiet",from H5117 (נוּחַ);,,הֲנָחָה,release.,hănâchâh,han-aw-khaw'
H2011,H,"Hinnom, apparently a Jebusite",probably of foreign origin;,,הִנֹּם,Hinnom.,Hinnôm,hin-nome'
H2012,H,"Hena, a place apparently in Mesopotamia",probably of foreign derivation;,,הֵנַע,Hena.,Hênaʻ,hay-nah'
H2013,H,to hush,a primitive root;,,הָסָה,"hold peace (tongue), (keep) silence, be silent, still.",hâçâh,haw-saw'
H2014,H,relaxation,from H6313 (פּוּג);,,הֲפֻגָה,intermission.,hăphugâh,haf-oo-gaw'
H2015,H,"to turn about or over; by implication, to change, overturn, return, pervert",a primitive root;,,הָפַךְ,"[idiom] become, change, come, be converted, give, make (a bed), overthrow (-turn), perverse, retire, tumble, turn (again, aside, back, to the contrary, every way).",hâphak,haw-fak'
H2016,H,"a turn, i.e. the reverse",; or הֵפֶךְ; from H2015 (הָפַךְ);,,הֶפֶךְ,contrary.,hephek,heh'-fek
H2017,H,"an upset, i.e. (abstract) perversity",from H2015 (הָפַךְ);,,הֹפֶךְ,turning of things upside down.,hôphek,ho'-fek
H2018,H,destruction,feminine of H2016 (הֶפֶךְ);,,הֲפֵכָה,overthrow.,hăphêkâh,haf-ay-kaw'
H2019,H,very perverse,by reduplication from H2015 (הָפַךְ);,,הֲפַכְפַּךְ,froward.,hăphakpak,haf-ak-pak'
H2020,H,rescue,from H5337 (נָצַל);,,הַצָּלָה,deliverance.,hatstsâlâh,hats-tsaw-law'
H2021,H,a weapon of war,from an unused root meaning apparently to be sharp or strong;,,הֹצֶן,chariot.,hôtsen,ho'-tsen
H2022,H,a mountain or range of hills (sometimes used figuratively),a shortened form of H2042 (הָרָר);,,הַר,"hill (country), mount(-ain), [idiom] promotion.",har,har
H2023,H,"Hor, the name of a peak in Idumaea and of one in Syria",another form of H2022 (הַר); mountain;,,הֹר,Hor.,Hôr,hore
H2024,H,"Hara, a region of Media",perhaps from H2022 (הַר); mountainousness;,,הָרָא,Hara.,Hârâʼ,haw-raw'
H2025,H,"mount of God; figuratively, the altar of burnt-offering",from H2022 (הַר) and H410 (אֵל);,,הַרְאֵל,altar. Compare H739 (אֲרִיאֵל).,harʼêl,har-ale'
H2026,H,to smite with deadly intent,a primitive root;,,הָרַג,"destroy, out of hand, kill, murder(-er), put to (death), make (slaughter), slay(-er), [idiom] surely.",hârag,haw-rag'
H2027,H,slaughter,from H2026 (הָרַג);,,הֶרֶג,"be slain, slaughter.",hereg,heh'-reg
H2028,H,slaughter,feminine of H2027 (הֶרֶג);,,הֲרֵגָה,slaughter.,hărêgâh,har-ay-gaw'
H2029,H,"to be (or become) pregnant, conceive (literally or figuratively)",a primitive root;,,הָרָה,"been, be with child, conceive, progenitor.",hârâh,haw-raw'
H2030,H,pregnant,"or הָרִי; (Hosea 14:1), from H2029 (הָרָה);",,הָרֶה,"(be, woman) with child, conceive, [idiom] great.",hâreh,haw-reh'
H2031,H,a mental conception,(Aramaic) from a root corresponding to H2029 (הָרָה);,,הַרְהֹר,thought.,harhôr,har-hor'
H2032,H,pregnancy,or הֵרָיוֹן; from H2029 (הָרָה);,,הֵרוֹן,conception.,hêrôwn,hay-rone'
H2033,H,a Harorite or mountaineer,another form for H2043 (הֲרָרִי);,,הֲרוֹרִי,Harorite.,Hărôwrîy,har-o-ree'
H2034,H,something demolished,from H2040 (הָרַס);,,הֲרִיסָה,ruin.,hărîyçâh,har-ee-saw'
H2035,H,demolition,from H2040 (הָרַס);,,הֲרִיסוּת,destruction.,hărîyçûwth,har-ee-sooth'
H2036,H,"Horam, a Canaanitish king",from an unused root (meaning to tower up); high;,,הֹרָם,Horam.,Hôrâm,ho-rawm'
H2037,H,"Harum, an Israelite",passive participle of the same as H2036 (הֹרָם); high;,,הָרֻם,Harum.,Hârum,haw-room'
H2038,H,a castle (from its height),from the same as H2036 (הֹרָם);,,הַרְמוֹן,palace.,harmôwn,har-mone'
H2039,H,"Haran, the name of two men",perhaps from H2022 (הַר); mountaineer;,,הָרָן,Haran.,Hârân,haw-rawn'
H2040,H,"to pull down or in pieces, break, destroy",a primitive root;,,הָרַס,"beat down, break (down, through), destroy, overthrow, pluck down, pull down, ruin, throw down, [idiom] utterly.",hâraç,haw-ras'
H2041,H,demolition,from H2040 (הָרַס);,,הֶרֶס,destruction.,hereç,heh'-res
H2042,H,a mountain,from an unused root meaning to loom up;,,הָרָר,"hill, mount(-ain).",hârâr,haw-rawr'
H2043,H,{Hararite},"or הָרָרִי; (2 Samuel 23:11), or הָארָרִי; (2 Samuel 23:34, last clause [), apparently from H2042 (הָרָר); a mountaineer",,הֲרָרִי,Hararite.,Hărârîy,hah-raw-ree'
H2044,H,"Hashem, an Israelite",perhaps from the same as H2828 (חָשֻׁם); wealthy;,,הָשֵׁם,Hashem.,Hâshêm,haw-shame'
H2045,H,announcement,from H8085 (שָׁמַע);,,הַשְׁמָעוּת,to cause to hear.,hashmâʻûwth,hashmaw-ooth'
H2046,H,a melting,from H5413 (נָתַךְ);,,הִתּוּךְ,is melted.,hittûwk,hit-took'
H2047,H,"Hathak, a Persian eunuch",probably of foreign origin;,,הֲתָךְ,Hatach.,Hăthâk,hath-awk'
H2048,H,"to deride; by implication, to cheat",a primitive root;,,הָתַל,"deal deceitfully, deceive, mock.",hâthal,haw-thal'
H2049,H,a derision,from H2048 (הָתַל) (only in plural collectively);,,הָתֹל,mocker.,hâthôl,haw-thole'
H2050,H,"properly, to break in upon, i.e. to assail",a primitive root;,,הָתַת,imagine mischief. w,hâthath,haw-thath'
H2051,H,"Vedan (or Aden), a place in Arabia",perhaps for H5730 (עֵדֶן);,,וְדָן,Dan also.,Vᵉdân,ved-awn'
H2052,H,"Vaheb, a place in Moab",of uncertain derivation;,,וָהֵב,what he did.,Vâhêb,vaw-habe'
H2053,H,a hook (the name of the sixth Hebrew letter),probably,,וָו,hook.,vâv,vaw
H2054,H,crime,presumed to be from an unused root meaning to bear guilt;,,וָזָר,[idiom] strange.,vâzâr,vaw-zawr'
H2055,H,"Vajezatha, a son of Haman",of foreign origin;,,וַיְזָתָא,Vajezatha.,Vayzâthâʼ,vah-yez-aw'-thaw
H2056,H,a boy,for H3206 (יֶלֶד);,,וָלָד,child.,vâlâd,vaw-lawd'
H2057,H,"Vanjah, an Israelite",perhaps for H6043 (עֲנָיָה);,,וַנְיָה,Vaniah.,Vanyâh,van-yaw'
H2058,H,"Vophsi, an Israelite",probably from H3254 (יָסַף); additional;,,וׇפְסִי,Vophsi.,Vophçîy,vof-see'
H2059,H,"Vashni, an Israelite",probably from H3461 (יִשְׁמְרַי); weak;,,וַשְׁנִי,Vashni.,Vashnîy,vash-nee'
H2060,H,"Vashti, the queen of Xerxes",of Persian origin;,,וַשְׁתִּי,Vashti. z,Vashtîy,vash-tee'
H2061,H,a wolf,from an unused root meaning to be yellow;,,זְאֵב,wolf.,zᵉʼêb,zeh-abe'
H2062,H,"Zeeb, a Midianitish prince",the same as H2061 (זְאֵב);,,זְאֵב,Zeeb.,Zᵉʼêb,zeh-abe'
H2063,H,this (often used adverb),irregular feminine of H2089 (זֶה);,,זֹאת,"hereby (-in, -with), it, likewise, the one (other, same), she, so (much), such (deed), that, therefore, these, this (thing), thus.",zôʼth,zothe'
H2064,H,to confer,a primitive root;,,זָבַד,endure.,zâbad,zaw-bad'
H2065,H,a gift,from H2064 (זָבַד);,,זֶבֶד,dowry.,zebed,zeh'-bed
H2066,H,"Zabad, the name of seven Israelites",from H2064 (זָבַד); giver;,,זָבָד,Zabad.,Zâbâd,zaw-bawd'
H2067,H,"Zabdi, the name of four Israelites",from H2065 (זֶבֶד); giving;,,זַבְדִּי,Zabdi.,Zabdîy,zab-dee'
H2068,H,"gift of God; zabdiel, the name of two Israelites",from H2065 (זֶבֶד) and H410 (אֵל);,,זַבְדִּיאֵל,Zabdiel.,Zabdîyʼêl,zab-dee-ale'
H2069,H,"Zebadjah, the name of nine Israelites",or זְבַדְיָהוּ; from H2064 (זָבַד) and H3050 (יָהּ); Jah has given;,,זְבַדְיָה,Zebadiah.,Zᵉbadyâh,zeb-ad-yaw'
H2070,H,a fly (especially one of a stinging nature),from an unused root (meaning to flit);,,זְבוּב,fly.,zᵉbûwb,zeb-oob'
H2071,H,"given, Zabud, an Israelite",from H2064 (זָבַד);,,זָבוּד,Zabud.,Zâbûwd,zaw-bood'
H2072,H,"Zabbud, an Israelite",a form of H2071 (זָבוּד); given;,,זַבּוּד,Zabbud.,Zabbûwd,zab-bood'
H2073,H,a residence,or זְבֻל; from H2082 (זָבַל);,,זְבוּל,"dwell in, dwelling, habitation.",zᵉbûwl,ze-bool'
H2074,H,"Zebulon, a son of Jacob; also his territory and tribe",or זְבֻלוּן; or זְבוּלֻן; from H2082 (זָבַל); habitation;,,זְבוּלוּן,Zebulun.,Zᵉbûwlûwn,zeb-oo-loon'
H2075,H,a Zebulonite or descendant of Zebulun,patronymically from H2074 (זְבוּלוּן);,,זְבוּלֹנִי,Zebulonite.,Zᵉbûwlônîy,zeb-oo-lo-nee'
H2076,H,to slaughter an animal (usually in sacrifice),a primitive root;,,זָבַח,"kill, offer, (do) sacrifice, slay.",zâbach,zaw-bakh'
H2077,H,"properly, a slaughter, i.e. the flesh of an animal; by implication, a sacrifice (the victim or the act)",from H2076 (זָבַח);,,זֶבַח,"offer(-ing), sacrifice.",zebach,zeh'-bakh
H2078,H,"Zebach, a Midianitish prince",the same as H2077 (זֶבַח); sacrifice;,,זֶבַח,Zebah.,Zebach,zeh'-bakh
H2079,H,"Zabbai (or Zaccai), an Israelite",probably by orthographical error for H2140 (זַכַּי);,,זַבַּי,Zabbai.,Zabbay,zab-bah'-ee
H2080,H,"Zebidah, an Israelitess",feminine from H2064 (זָבַד); giving;,,זְבִידָה,Zebudah.,Zᵉbîydâh,zeb-ee-daw'
H2081,H,"Zebina, an Israelite",from an unused root (meaning to purchase); gainfulness;,,זְבִינָא,Zebina.,Zᵉbîynâʼ,zeb-ee-naw'
H2082,H,to reside,"a primitive root; apparently properly, to inclose, i.e.",,זָבַל,dwell with.,zâbal,zaw-bal'
H2083,H,"Zebul, an Israelite",the same as H2073 (זְבוּל); dwelling;,,זְבֻל,Zebul. Compare H2073 (זְבוּל).,Zᵉbul,zeb-ool'
H2084,H,to acquire by purchase,(Aramaic) corresponding to the root of H2081 (זְבִינָא);,,זְבַן,gain.,zᵉban,zeb-an'
H2085,H,the skin of a grape,from an unused root probably meaning to inclose;,,זָג,husk.,zâg,zawg
H2086,H,arrogant,from H2102 (זוּד);,,זֵד,"presumptuous, proud.",zêd,zade'
H2087,H,arrogance,from H2102 (זוּד);,,זָדוֹן,"presumptuously, pride, proud (man).",zâdôwn,zaw-done'
H2088,H,"the masculine demonstrative pronoun, this or that",a primitive word;,,זֶה,"he, [idiom] hence, [idiom] here, it(-self), [idiom] now, [idiom] of him, the one...the other, [idiom] than the other, ([idiom] out of) the (self) same, such (a one) that, these, this (hath, man), on this side...on that side, [idiom] thus, very, which. Compare H2063 (זֹאת), H2090 (זֹה), H2097 (זוֹ), H2098 (זוּ).",zeh,zeh
H2089,H,a sheep,(1 Samuel by permutation for H7716 (שֶׂה);,,זֶה,lamb.,zeh,zeh
H2090,H,this or that,for H2088 (זֶה);,,זֹה,"as well as another, it, this, that, thus and thus.",zôh,zo
H2091,H,"gold, figuratively, something gold-colored (i.e. yellow), as oil, a clear sky",from an unused root meaning to shimmer;,,זָהָב,"gold(-en), fair weather.",zâhâb,zaw-hawb'
H2092,H,"to be rancid, i.e. (transitively) to loathe",a primitive root;,,זָהַם,abhor.,zâham,zaw-ham'
H2093,H,"Zaham, an Israelite",from H2092 (זָהַם); loathing;,,זַהַם,Zaham.,Zaham,zah'-ham
H2094,H,"to gleam; figuratively, to enlighten (by caution)",a primitive root;,,זָהַר,"admonish, shine, teach, (give) warn(-ing).",zâhar,zaw-har'
H2095,H,(passively) be admonished,(Aramaic) corresponding to H2094 (זָהַר);,,זְהַר,take heed.,zᵉhar,zeh-har'
H2096,H,brilliancy,from H2094 (זָהַר);,,זֹהַר,brightness.,zôhar,zo'-har
H2097,H,this or that,for H2088 (זֶה);,,זוֹ,"that, this.",zôw,zo
